email,nombre,monto,fecha,metodo_pago
maria.garcia@email.com,Maria Garcia,50000,2025-10-15 10:30:00,Tarjeta
juan.perez@email.com,Juan Perez,30000,2025-10-16 14:20:00,PSE
pedro.lopez@email.com,Pedro Lopez,100000,2025-10-17 09:15:00,Tarjeta
ana.rodriguez@email.com,Ana Rodriguez,25000,2025-10-18 16:45:00,Efecty
carlos.sanchez@email.com,Carlos Sanchez,40000,2025-10-19 11:30:00,Tarjeta
laura.martinez@email.com,Laura Martinez,60000,2025-10-20 13:20:00,PSE
diego.gomez@email.com,Diego Gomez,35000,2025-10-21 10:00:00,Tarjeta
sofia.hernandez@email.com,Sofia Hernandez,45000,2025-10-22 15:30:00,Tarjeta
andres.diaz@email.com,Andres Diaz,55000,2025-10-23 12:15:00,PSE
camila.ruiz@email.com,Camila Ruiz,30000,2025-10-24 14:45:00,Tarjeta

